config,layer,cos_to_j,cos_to_r,cos_to_released_j,cos_to_released_r
r,13,0.874131977558136,1.0008896589279175,0.8725135922431946,0.9986019134521484
r,14,0.877918541431427,1.000835657119751,0.8764554858207703,0.9988043904304504
r,15,0.885069727897644,1.0007855892181396,0.8835039734840393,0.9988893270492554
r,16,0.8872591257095337,1.0007963180541992,0.8856185078620911,0.9991764426231384
r,17,0.8987201452255249,1.000745415687561,0.8969455361366272,0.9993696808815002
r,18,0.9174624085426331,1.000775694847107,0.9164165258407593,0.9995763897895813
r,19,0.9339154958724976,1.0008739233016968,0.9326295852661133,0.9998816251754761
r,20,0.9472140073776245,1.0008456707000732,0.9460775256156921,1.0000330209732056
r,21,0.9568114280700684,1.0008219480514526,0.9558277726173401,1.000104308128357
r,22,0.9683136343955994,1.000802993774414,0.9673135280609131,1.00016450881958
r,23,0.9751368165016174,1.000901699066162,0.9743787050247192,1.0003896951675415
r,24,0.9796797037124634,1.000913143157959,0.9791567325592041,1.000502347946167
r,25,0.983050525188446,1.0009244680404663,0.9826963543891907,1.000605821609497
r,26,0.9870018362998962,1.0009502172470093,0.9868150353431702,1.0007233619689941
r,27,0.990848183631897,1.0012034177780151,0.9908332228660583,1.001086711883545
r,28,0.9942203760147095,1.0015294551849365,0.9941978454589844,1.0014517307281494
r,29,0.9981057047843933,1.0020185708999634,0.9980567693710327,1.001976490020752
r,30,1.0,1.0,1.0,1.0
